iter,emax,log_compression,n_live
334,-0.11786240926000718,-0.008333333333333333,120
335,-0.1180753562396302,-0.008333333333333333,120
336,-0.11840849913652453,-0.008333333333333333,120
337,-0.11846945566617198,-0.008333333333333333,120
338,-0.11848512344372576,-0.008333333333333333,120
339,-0.11963856091908324,-0.008333333333333333,120
340,-0.12048497240749313,-0.008333333333333333,120
341,-0.12078356013206762,-0.008333333333333333,120
342,-0.1210491089639504,-0.008333333333333333,120
343,-0.12107861102526438,-0.008333333333333333,120
344,-0.12118480002571028,-0.008333333333333333,120
345,-0.12138376663956776,-0.008333333333333333,120
346,-0.12145142523274989,-0.008333333333333333,120
347,-0.12190314961991898,-0.008333333333333333,120
348,-0.12204433923113867,-0.008333333333333333,120
349,-0.12211560932459113,-0.008333333333333333,120
350,-0.12247330211048213,-0.008333333333333333,120
351,-0.1230830984856814,-0.008333333333333333,120
352,-0.12353619969991649,-0.008333333333333333,120
353,-0.12370991861665147,-0.008333333333333333,120
354,-0.12371130674278277,-0.008333333333333333,120
355,-0.12459881647234108,-0.008333333333333333,120
356,-0.12487161645269444,-0.008333333333333333,120
357,-0.12503079658772795,-0.008333333333333333,120
358,-0.1250627415769219,-0.008333333333333333,120
359,-0.12597520357412115,-0.008333333333333333,120
360,-0.12619560471271724,-0.008333333333333333,120
361,-0.1267478057311967,-0.008333333333333333,120
362,-0.12687983744621922,-0.008333333333333333,120
363,-0.12711136962190822,-0.008333333333333333,120
364,-0.1273648604731729,-0.008333333333333333,120
365,-0.12737441696142462,-0.008333333333333333,120
366,-0.12750648225294742,-0.008333333333333333,120
367,-0.1276460592886941,-0.008333333333333333,120
368,-0.1281558351713243,-0.008333333333333333,120
369,-0.1282305168068973,-0.008333333333333333,120
370,-0.1284951692995857,-0.008333333333333333,120
371,-0.1286330479450535,-0.008333333333333333,120
372,-0.1287924174751336,-0.008333333333333333,120
373,-0.12995900939195748,-0.008333333333333333,120
374,-0.13174084904603686,-0.008333333333333333,120
375,-0.13191620487805394,-0.008333333333333333,120
376,-0.1320618367956464,-0.008333333333333333,120
377,-0.13220163107006205,-0.008333333333333333,120
378,-0.1323779563360059,-0.008333333333333333,120
379,-0.1325295222541925,-0.008333333333333333,120
380,-0.1325313889073143,-0.008333333333333333,120
381,-0.13300138338793263,-0.008333333333333333,120
382,-0.1331475965629407,-0.008333333333333333,120
383,-0.13330288352676434,-0.008333333333333333,120
384,-0.13335899332482945,-0.008333333333333333,120
385,-0.1333627646081671,-0.008333333333333333,120
386,-0.1340712928682368,-0.008333333333333333,120
387,-0.1341000403832039,-0.008333333333333333,120
388,-0.13416671547504475,-0.008333333333333333,120
389,-0.13421042302792507,-0.008333333333333333,120
390,-0.13447211804720005,-0.008333333333333333,120
391,-0.1353375447481652,-0.008333333333333333,120
392,-0.13537561391815953,-0.008333333333333333,120
393,-0.13567190844635155,-0.008333333333333333,120
394,-0.1361467367764118,-0.008333333333333333,120
395,-0.13666370465095293,-0.008333333333333333,120
396,-0.1370265680358962,-0.008333333333333333,120
397,-0.13764772188004396,-0.008333333333333333,120
398,-0.13766578027949167,-0.008333333333333333,120
399,-0.1377741177440629,-0.008333333333333333,120
400,-0.1388434774194978,-0.008333333333333333,120
401,-0.1390381050023346,-0.008333333333333333,120
402,-0.13941882193202373,-0.008333333333333333,120
403,-0.13943324698439785,-0.008333333333333333,120
404,-0.13954007426808976,-0.008333333333333333,120
405,-0.14043976575404607,-0.008333333333333333,120
406,-0.14180677339316225,-0.008333333333333333,120
407,-0.1419688956052834,-0.008333333333333333,120
408,-0.1421542903224251,-0.008333333333333333,120
409,-0.1423155200094682,-0.008333333333333333,120
410,-0.14346263893801464,-0.008333333333333333,120
411,-0.14357764198744716,-0.008333333333333333,120
412,-0.14398839437647876,-0.008333333333333333,120
413,-0.1441271791286955,-0.008333333333333333,120
414,-0.14425611961071758,-0.008333333333333333,120
415,-0.1445865503737405,-0.008333333333333333,120
416,-0.14477167925373818,-0.008333333333333333,120
417,-0.14495767628919617,-0.008333333333333333,120
418,-0.14641918914194557,-0.008333333333333333,120
419,-0.1468461016029856,-0.008333333333333333,120
